yr,ticker,fecha,ret,ps
2009,GRC,2009-02-12,2.59,1.1900
2009,HEI,2009-02-24,36.87,1.5700
2009,HLIO,2009-03-02,107.33,1.1700
2009,HTLD,2009-01-22,8.92,2.0000
2009,HUBG,2009-01-29,23.69,0.4100
2009,HURN,2009-02-24,-44.18,1.1600
2009,ICFI,2009-03-11,9.64,0.4900
2009,JBTM,2009-03-31,67.69,0.3100
2009,KAI,2009-03-04,103.40,0.2900
2009,KFY,2009-03-11,129.43,0.4400
2009,LNN,2009-04-02,56.56,0.7000
2009,MRCY,2009-01-27,126.50,0.5900
2009,MTZ,2009-03-02,39.23,0.5300
2009,PKE,2009-05-15,63.27,1.9100
2009,RGR,2009-02-24,48.06,0.8000
2009,STN,2009-02-26,33.80,0.6400
2009,TREX,2009-02-27,121.86,0.4100
2009,TTEK,2009-01-28,11.83,0.5800
2009,WCC,2009-01-29,54.03,0.1300
2009,WLFC,2009-05-11,12.22,2.5800
2009,WOR,2009-04-01,68.64,0.1500
2009,WSO,2009-02-17,67.44,0.5400
2010,AAON,2010-03-15,40.72,0.2900
2010,AGX,2010-04-14,-31.66,0.7600
2010,ALGT,2010-01-25,-8.73,1.8500
2010,ALNT,2010-03-18,102.94,0.6500
2010,ARCB,2010-01-28,6.59,0.4000
2010,ATI,2010-01-27,52.73,1.3800
2010,ATRO,2010-02-09,217.71,0.2100
2010,AVAV,2010-03-09,20.21,2.3100
2010,AXON,2010-02-19,-44.62,4.3400
2010,AZZ,2010-01-08,18.43,1.0900
2010,BBSI,2010-02-09,19.94,0.5600
2010,CAR,2010-02-17,17.66,0.2700
2010,CECO,2010-03-11,-24.14,3.0900
2010,CLH,2010-02-24,77.44,0.7600
2010,CMCO,2010-01-28,18.80,0.5600
2010,CODI,2010-03-09,8.82,0.4100
2010,CPA,2010-02-10,12.02,1.7500
2010,CRAI,2010-01-14,-7.04,0.9700
2010,CW,2010-02-15,20.28,0.7500
2010,CYD,2010-03-31,67.12,0.9500
2010,DAC,2010-03-29,3.26,0.7900
2010,DXPE,2010-03-22,77.50,0.2500
2010,DY,2010-02-23,105.22,0.3200
2010,EBF,2010-04-26,13.04,1.8100
2010,ENS,2010-02-03,65.32,0.6700
2010,EPAC,2010-03-17,27.50,1.3100
2010,ESLT,2010-03-10,-16.44,0.9200
2010,FCN,2010-02-26,-9.77,1.3900
2010,FIX,2010-03-01,7.09,0.4000
2010,FRO,2010-02-26,-4.38,1.8500
2010,FSS,2010-02-23,-25.00,0.4600
2010,FWRD,2010-02-08,30.95,1.5300
2010,GBX,2010-01-08,104.84,0.1900
2010,GEO,2010-02-22,24.22,0.9000
2010,GNRC,2010-05-07,28.85,0.5400
2010,GRC,2010-02-11,44.62,1.5100
2010,HEI,2010-02-24,46.23,2.2600
2010,HLIO,2010-03-08,45.74,4.5000
2010,HTLD,2010-01-27,8.26,2.9300
2010,HUBG,2010-01-28,45.37,0.6300
2010,HURN,2010-02-23,28.96,0.6700
2010,ICFI,2010-03-09,-10.41,0.7100
2010,JBTM,2010-03-31,9.64,0.6000
2010,KAI,2010-02-24,33.91,0.8500
2010,KFY,2010-03-09,19.24,1.5600
2010,LNN,2010-03-31,91.23,1.5800
2010,MRCY,2010-01-26,42.95,1.4900
2010,MTZ,2010-02-24,18.74,0.6300
2010,PKE,2010-04-28,6.45,3.5500
2010,PRIM,2010-03-10,3.57,0.6000
2010,RGR,2010-02-24,35.64,0.7600
2010,STN,2010-02-25,14.85,0.7800
2010,TREX,2010-02-26,49.83,1.1300
2010,TTEK,2010-01-27,-3.39,0.7100
2010,WCC,2010-01-28,91.09,0.2700
2010,WLFC,2010-03-08,-22.50,3.1200
2010,WOR,2010-01-06,13.68,0.4400
2010,WSO,2010-02-17,8.64,0.8700
2011,AAON,2011-03-10,0.51,0.4000
2011,AGX,2011-04-14,82.53,0.6500
2011,ALGT,2011-01-31,20.91,1.3400
2011,ALNT,2011-03-18,11.59,1.0900
2011,AMRC,2011-02-17,-3.09,1.0800
2011,ARCB,2011-02-03,-23.72,0.3800
2011,ATI,2011-01-26,-23.37,1.7600
2011,ATRO,2011-02-08,51.80,0.4700
2011,AVAV,2011-03-08,-5.28,2.2100
2011,AXON,2011-02-23,6.31,2.8500
2011,AZZ,2011-01-07,17.60,1.3300
2011,BBSI,2011-02-09,22.69,0.5700
2011,CAR,2011-02-16,-6.83,0.3100
2011,CECO,2011-03-31,-65.36,2.7800
2011,CLH,2011-02-23,46.33,0.8300
2011,CMCO,2011-01-28,-11.14,0.6500
2011,CMRE,2011-02-16,-10.68,1.9000
2011,CODI,2011-03-10,-4.32,0.4200
2011,CPA,2011-02-10,21.53,1.7400
2011,CRAI,2011-01-13,-1.24,0.9300
2011,CW,2011-02-14,4.53,0.8800
2011,CYD,2011-03-31,-45.76,0.4900
2011,DAC,2011-03-17,-14.32,1.4300
2011,DXPE,2011-03-16,86.12,0.4200
2011,DY,2011-03-01,30.67,0.6000
2011,EBF,2011-04-25,-24.41,1.9500
2011,ENS,2011-02-09,-7.47,0.9300
2011,EPAC,2011-03-17,12.76,1.6300
2011,ESLT,2011-03-15,-32.11,0.8200
2011,FCN,2011-02-24,29.56,1.1200
2011,FIX,2011-03-01,-11.93,0.4400
2011,FRO,2011-02-22,-76.72,1.7200
2011,FSS,2011-03-16,4.14,0.4800
2011,FWRD,2011-02-14,27.04,1.7500
2011,GBX,2011-01-07,22.47,0.5800
2011,GEO,2011-02-17,-28.00,1.3400
2011,GNRC,2011-02-18,50.86,1.3000
2011,GRC,2011-02-10,17.89,1.9700
2011,HEI,2011-02-22,36.92,2.7500
2011,HLIO,2011-03-07,18.74,4.2700
2011,HTLD,2011-01-20,-7.38,2.9000
2011,HUBG,2011-01-27,-7.24,0.7500
2011,HURN,2011-02-21,30.72,0.9600
2011,ICFI,2011-03-02,16.75,0.5700
2011,JBTM,2011-03-31,-14.92,0.6100
2011,KAI,2011-02-23,19.08,0.9500
2011,KFY,2011-03-09,-29.75,1.3600
2011,LNN,2011-03-30,-15.36,2.5300
2011,MRCY,2011-01-25,-16.03,1.9900
2011,MTZ,2011-02-23,10.14,0.5400
2011,PKE,2011-05-02,-19.50,3.1600
2011,PRIM,2011-03-16,74.86,0.4600
2011,RGR,2011-02-23,174.34,1.1000
2011,STN,2011-02-24,6.11,0.9300
2011,TREX,2011-02-28,-11.35,1.5900
2011,TTEK,2011-02-02,-1.86,0.6700
2011,WCC,2011-01-27,16.03,0.5500
2011,WLFC,2011-03-15,8.53,2.3800
2011,WOR,2011-01-05,-7.25,0.3800
2011,WSO,2011-02-15,16.92,0.7200
2012,AAON,2012-03-14,31.86,0.5500
2012,AGX,2012-04-12,-3.34,1.5600
2012,ALGT,2012-02-01,31.06,1.3900
2012,ALNT,2012-03-13,-7.79,0.8900
2012,AMRC,2012-02-29,-46.42,0.8900
2012,ARCB,2012-01-27,-43.39,0.2600
2012,ATI,2012-01-25,-38.34,1.1200
2012,ATRO,2012-02-06,-20.30,0.9300
2012,AVAV,2012-03-06,-19.96,1.8900
2012,AXON,2012-02-23,63.90,2.7800
2012,AZZ,2012-01-06,77.75,1.2800
2012,BBSI,2012-02-13,119.78,0.5800
2012,CAR,2012-02-15,58.05,0.2600
2012,CECO,2012-03-08,-66.33,0.9600
2012,CLH,2012-02-22,-23.46,1.0800
2012,CMCO,2012-01-27,15.30,0.5100
2012,CMRE,2012-02-01,5.65,1.7000
2012,CODI,2012-03-07,8.89,0.3600
2012,CPA,2012-02-08,60.99,1.6700
2012,CRAI,2012-02-16,-15.10,0.8600
2012,CW,2012-02-17,-3.56,0.8600
2012,CYD,2012-03-31,-9.49,0.2600
2012,DAC,2012-02-21,-0.49,0.9500
2012,DXPE,2012-02-29,57.03,0.6600
2012,DY,2012-02-28,-2.58,0.6700
2012,EBF,2012-04-23,-0.59,0.7600
2012,ENS,2012-02-08,30.05,0.6800
2012,EPAC,2012-03-21,6.69,1.4100
2012,ESLT,2012-05-15,22.56,0.5600
2012,FCN,2012-02-23,-19.12,1.1900
2012,FIX,2012-02-29,9.09,0.3400
2012,FRO,2012-02-27,-51.67,0.5900
2012,FSS,2012-03-14,29.24,0.4500
2012,FWRD,2012-02-07,1.92,2.0000
2012,GBX,2012-01-06,-31.44,0.6000
2012,GEO,2012-02-21,89.57,0.6700
2012,GNRC,2012-02-14,80.77,1.5100
2012,GRC,2012-02-08,-9.89,1.9200
2012,HEI,2012-02-22,-1.20,3.0900
2012,HLIO,2012-03-12,-2.41,3.7600
2012,HTLD,2012-01-20,-9.72,2.4200
2012,HUBG,2012-01-26,8.27,0.4600
2012,HURN,2012-02-22,-5.87,1.2500
2012,ICFI,2012-02-29,-6.90,0.6100
2012,JBTM,2012-03-31,26.53,0.5000
2012,KAI,2012-02-22,8.92,0.9000
2012,KFY,2012-03-07,18.72,0.8800
2012,LNN,2012-03-28,34.28,1.6500
2012,MRCY,2012-01-24,-46.93,1.8800
2012,MTZ,2012-02-29,71.06,0.4700
2012,PKE,2012-05-01,-8.25,2.8000
2012,PRIM,2012-03-01,31.25,0.5300
2012,RGR,2012-02-22,34.51,2.3200
2012,STN,2012-02-23,31.79,1.0000
2012,TREX,2012-02-27,77.06,1.6600
2012,TTEK,2012-02-01,20.42,0.5700
2012,WCC,2012-01-26,14.01,0.5400
2012,WOR,2012-01-05,52.07,0.3100
2012,WSO,2012-02-15,6.17,0.8100
2013,AAON,2013-03-14,57.11,1.4200
2013,AGX,2013-04-10,77.52,0.7800
2013,ALGT,2013-01-30,35.05,1.5600
2013,ALNT,2013-03-11,72.25,0.9000
2013,AMRC,2013-03-18,7.95,0.5500
2013,ARCB,2013-01-30,208.40,0.1300
2013,ATI,2013-01-23,3.76,0.6600
2013,ATRO,2013-02-05,200.00,0.7700
2013,AVAV,2013-03-05,46.33,1.6400
2013,AXON,2013-02-21,174.35,3.2900
2013,AZZ,2013-01-09,0.90,1.8500
2013,BBSI,2013-02-12,90.41,0.7400
2013,CAR,2013-02-13,73.46,0.3400
2013,CECO,2013-03-07,169.43,0.3400
2013,CLH,2013-02-20,-13.30,1.3500
2013,CMCO,2013-01-25,49.08,0.5600
2013,CMRE,2013-01-23,16.84,2.1700
2013,CODI,2013-03-06,16.84,0.8200
2013,CPA,2013-02-06,20.85,2.1900
2013,CRAI,2013-02-14,-0.05,0.7800
2013,CW,2013-02-20,73.27,0.8100
2013,CYD,2013-04-22,44.51,0.2400
2013,DAC,2013-02-11,50.37,0.7500
2013,DXPE,2013-02-27,73.67,0.8100
2013,DY,2013-02-26,22.33,0.5500
2013,EBF,2013-04-22,6.25,0.7400
2013,ENS,2013-02-06,60.31,0.8800
2013,EPAC,2013-03-20,7.39,1.4800
2013,ESLT,2013-03-13,52.96,0.5600
2013,FCN,2013-02-28,-14.74,0.8800
2013,FIX,2013-02-28,35.66,0.3500
2013,FRO,2013-02-21,45.52,0.3600
2013,FSS,2013-03-15,91.83,0.5600
2013,FWRD,2013-02-11,15.06,1.8900
2013,GBX,2013-01-09,87.32,0.3300
2013,GEO,2013-02-21,-2.98,1.2700
2013,GNRC,2013-02-14,80.94,1.8500
2013,GRC,2013-02-08,27.27,1.7100
2013,HEI,2013-02-20,58.13,2.7300
2013,HLIO,2013-03-04,44.87,3.7200
2013,HTLD,2013-01-23,51.91,2.0900
2013,HUBG,2013-01-29,8.06,0.4400
2013,HURN,2013-02-20,84.99,1.1600
2013,ICFI,2013-02-27,43.37,0.5100
2013,JBTM,2013-03-31,49.28,0.6800
2013,KAI,2013-02-26,35.42,0.9300
2013,KFY,2013-03-06,42.39,1.0600
2013,LNN,2013-01-08,-3.41,1.9100
2013,MRCY,2013-01-29,37.11,1.0500
2013,MTZ,2013-02-28,26.52,0.6100
2013,PKE,2013-05-09,13.81,2.8200
2013,PRIM,2013-03-07,56.43,0.6700
2013,RGR,2013-02-27,27.77,2.1400
2013,STN,2013-02-21,52.61,0.9800
