ticker,yr,fecha,f4,sector,ret,ps,mcap,mom,r40,sdmb,sdcr,mb,cr
BEP,2007,2007-02-06,2008-02-12,Utilities,10.42,3.9600,624.9,-5.05,0.8377,0.04899,0.14084,0.6628,0.1916
BFH,2007,2007-01-31,2008-01-30,Financial Services,-37.14,2.1900,4391.7,23.56,0.4030,0.04285,0.04413,0.1709,0.2609
BGC,2007,2007-05-09,2008-05-07,Financial Services,-3.55,1.9000,310.1,10.14,0.0057,0.00047,0.09391,0.8920,-0.0267
BHC,2007,2007-03-15,2008-03-13,Healthcare,-35.49,3.1300,3327.9,31.27,0.4478,0.03694,0.10106,0.8284,0.0695
BJRI,2007,2007-02-15,2008-02-14,Consumer Cyclical,-25.46,2.2400,535.2,-9.05,0.3902,0.07234,0.08138,0.7438,0.3386
BKD,2007,2007-03-13,2008-02-27,Healthcare,-47.91,3.4400,4506.1,-1.68,1.4464,0.02505,0.57192,0.3606,1.5282
BKH,2007,2007-02-15,2008-02-07,Utilities,4.50,2.0400,1340.0,10.53,-0.3499,0.13667,0.42889,0.6985,-0.5799
BKNG,2007,2007-02-12,2008-02-14,Consumer Cyclical,122.28,1.8300,2055.3,26.03,0.3238,0.05538,0.09314,0.3827,0.2754
BLX,2007,2007-04-23,2008-04-04,Financial Services,-16.09,5.8400,724.3,24.32,-0.4787,0.21407,1.06169,0.3127,-0.4787
BMRN,2007,2007-02-20,2008-02-26,Healthcare,111.72,20.2100,1701.8,19.05,0.7988,0.01945,1.17722,0.8358,1.3239
BOOM,2007,2007-02-22,2008-03-06,desconocido,55.41,3.7200,422.1,5.09,0.8128,0.04356,0.17848,0.4069,0.5406
BRFS,2007,2007-03-31,2008-03-31,desconocido,72.69,0.8700,2296.1,28.46,0.5607,0.03316,0.17826,0.3068,0.5141
BRKL,2007,2007-01-18,2008-01-17,desconocido,-26.09,10.6500,788.4,-16.36,-0.1246,0.06406,0.27661,0.5111,-0.3705
BRKS,2007,2007-02-06,2008-02-11,desconocido,-18.86,1.4100,1067.5,-16.36,0.5863,0.02992,0.47982,0.3119,0.5048
BTE,2007,2007-03-31,2008-05-14,Energy,56.12,2.9400,1422.7,-13.43,-0.7231,0.24723,0.57250,0.0987,-0.0380
BUSE,2007,2007-03-16,2008-03-14,Financial Services,-12.18,3.6600,458.6,-6.19,0.4587,0.03681,0.06162,0.5691,0.2369
BVN,2007,2007-02-28,2008-02-28,Basic Materials,178.79,5.4900,3524.4,0.65,1.4556,0.05176,0.40547,0.5045,0.9904
