yr,ticker,sec,mb,cr,r40,mc,mom,ret,qqq
2007,MLI,Indu,0.459,0.720,0.340,0.257,-5.9,-13.3,1.7
2007,MLKN,Cons,0.035,0.125,0.488,0.748,7.5,-22.9,-1.9
2007,MOD,Indu,0.387,0.437,0.380,0.353,6.8,-39.3,2.0
2007,MOV,Cons,0.095,0.103,0.468,0.318,12.9,-34.5,1.7
2007,MTH,Cons,0.708,0.713,0.063,0.501,7.7,-76.4,-0.2
2007,MTRN,Basi,0.255,0.585,0.799,0.371,67.4,-28.6,-1.0
2007,MTX,Basi,0.111,0.141,0.279,0.503,10.1,-11.0,0.7
2007,MTZ,Indu,0.806,0.714,0.845,0.309,-2.5,-27.1,1.8
2007,MWA,Indu,0.922,0.999,0.151,0.614,-3.7,-38.9,1.3
2007,MYE,Cons,0.273,0.462,0.111,0.249,2.7,-18.4,-2.1
2007,NAT,Indu,0.981,0.870,0.927,0.406,2.3,-12.5,-1.1
2007,NPO,Indu,0.169,0.202,0.006,0.340,27.1,-16.0,-0.2
2007,NWPX,Indu,0.041,0.456,0.645,0.016,17.3,10.7,-3.9
2007,NX,Basi,0.321,0.499,0.198,0.562,29.0,28.7,0.9
2007,OII,Ener,0.569,0.196,0.607,0.735,39.2,51.6,-5.0
2007,OIS,Ener,0.221,0.619,0.471,0.349,4.0,26.6,-1.9
2007,OKE,Ener,0.472,0.975,0.044,0.931,13.3,11.5,-3.5
2007,OLN,Basi,0.453,0.359,0.559,0.504,7.4,3.3,0.9
2007,ORLY,Cons,0.081,0.097,0.408,0.899,-1.8,-14.5,1.2
2007,OSK,Indu,0.135,0.318,0.644,0.918,6.6,-13.9,1.9
2007,OXM,Cons,0.390,0.801,0.136,0.374,13.8,-54.6,6.1
2007,PAAS,Basi,0.940,0.966,0.997,0.716,48.9,25.6,-3.6
2007,PDS,Ener,0.856,0.831,0.368,0.993,-29.7,-12.8,-0.2
2007,PENN,Cons,0.413,0.906,0.757,0.368,27.3,8.4,-4.2
2007,PII,Cons,0.204,0.267,0.147,0.619,11.3,-8.8,1.2
2007,PKE,Indu,0.361,0.336,0.413,0.226,-11.6,-8.1,3.7
2007,PKG,Cons,0.638,0.210,0.557,0.730,-5.5,14.6,4.2
2007,PNR,Indu,0.117,0.270,0.254,0.698,20.8,0.9,2.0
2007,POOL,Indu,0.136,0.402,0.195,0.658,-4.1,-48.3,-1.1
2007,POWL,Indu,0.365,0.779,0.777,0.054,37.8,18.6,-2.1
2007,PTEN,Ener,0.676,0.626,0.820,0.905,-0.8,-1.4,-1.4
2007,PVH,Cons,0.320,0.220,0.562,0.881,36.8,-40.8,-1.7
2007,PWR,Indu,0.430,0.349,0.276,0.786,33.6,0.9,-3.4
2007,RBA,Indu,0.370,0.724,0.553,0.674,6.8,33.8,-4.5
2007,RBC,Indu,0.148,0.084,0.598,0.443,8.0,-21.3,-3.0
2007,RES,Ener,0.532,0.370,0.855,0.613,38.8,-42.5,-0.4
2007,RGLD,Basi,0.843,0.695,0.963,0.327,19.2,-6.7,0.7
2007,ROST,Cons,0.144,0.038,0.466,0.982,29.3,-15.2,-2.1
2007,RRC,Ener,0.597,0.623,0.748,0.966,28.9,97.6,-5.1
2007,RRX,Indu,0.245,0.865,0.242,0.606,8.2,-22.1,-0.8
2007,RS,Basi,0.147,0.826,0.922,0.878,38.6,15.9,-2.4
2007,RUSHA,Cons,0.063,0.691,0.529,0.034,13.9,33.7,0.6
2007,SAH,Cons,0.009,0.079,0.186,0.516,27.5,-34.7,1.1
2007,SGI,Cons,0.463,0.260,0.523,0.446,44.1,-32.7,-1.0
