yr,ticker,mom,ret,qqq,fdate,roce,capexdep,dio,evsales,evebitda,ndebitda,curratio,fcfy,iq,ccc,pos_roce,pos_capexdep,pos_dio,pos_evsales,pos_fcfy,capexdep_ma8,ev_mid_ebitda,nd_mid_ebitda,d_roce,d_dio,d_capexdep
2017,PRIM,28.7,-3.0,22.0,2016-09-30,0.0159088,0.575997,10.8728,2.33503,41.7004,4.18923,1.6801,0.0329268,9.48675,64.1592,0.146129,0,0.395609,0.404326,0.605402,1.08204,33.0006,3.31524,-0.0306004,-1.27941,-0.430849
2017,RGR,-21.7,-3.9,20.2,2016-10-01,0.109082,1.36746,35.2743,6.16038,25.4641,-2.59552,2.71249,0.00692179,0.972292,31.2267,0.517451,0.268967,0.534132,0.303257,0.404134,0.953797,28.4866,-2.9036,0.0284004,-6.96018,0.437836
2017,SSD,38.4,33.6,31.9,2016-09-30,0.0527107,1.87453,168.671,8.20919,36.1964,-4.17532,5.05158,0.0154901,1.51505,204.913,1,0.643476,0.21823,0.506163,0.636403,1.35792,61.4522,-7.08863,0.011666,13.0084,1.06437
2017,STN,20.5,8.7,23.0,2016-09-30,0.0243024,0.540608,7.79662,3.57806,39.3088,8.58286,1.51257,0.0109792,1.20122,29.5369,0.73575,0.370636,0.724905,0.0751385,0.573928,0.500325,64.4811,14.0791,-0.0166297,7.79662,0.102242
2017,TREX,78.6,57.0,33.1,2016-09-30,0.0653339,0.964327,19.4906,15.9868,120.872,-1.63346,2.02925,0.0365628,9.60534,45.3634,0.457499,0.3127,0.214858,0.691906,0.494496,1.24483,105.908,-1.43124,0.0204814,-1.73856,-0.200487
2017,TTEK,78.0,16.5,29.9,2016-09-30,0.0358541,0.156386,0,3.04479,36.0242,3.02972,1.93702,0.0247981,1.67451,69.9678,0.951862,0,,0.775719,0.384893,0.406704,62.942,5.29357,0.0539331,0,-0.251048
2017,WCC,94.9,-8.1,23.8,2016-09-30,0.0253623,0.358824,50.2794,2.35347,39.8767,12.59,2.33734,0.0242664,-2.52733,64.8217,0.408621,0.1753,0.593268,0.541996,0.447031,0.298172,38.0898,12.0258,-0.00396926,0.995903,0.136601
2017,WFG,36.5,65.0,31.5,2016-09-30,0.0509471,1.52,65.2774,3.93705,21.9676,1.83881,1.89676,0.04152,2.3271,47.9134,0.899147,0.295449,0.0366646,0.169341,0.881532,1.28937,32.2838,2.70233,0.0214367,-0.079741,0.479184
2017,WGO,38.7,48.9,32.8,2016-08-27,0.063425,3.0779,47.656,2.11773,27.3445,-4.19771,3.01874,0.0254741,1.59782,53.1164,0.893872,0.301591,0.161096,0.462376,0.570187,3.9819,40.7737,-6.25925,0.00314999,2.38681,1.1259
2017,WLFC,30.8,10.7,27.1,2016-09-30,0.00462067,3.12431,87.9024,25.739,39.7048,26.2287,4.05788,-0.0530093,7.05646,37.3653,0.789307,0.524392,0.548419,0.434555,0.533638,2.8956,54.9131,36.2752,0.0013418,-1.32699,-0.241014
2017,WOR,40.0,-19.5,12.8,2016-08-31,0.0372682,0.747378,56.1219,2.75933,16.677,3.26374,2.1681,0.0638962,1.76411,57.8768,0.859396,0.312338,0.477047,0.983066,0.60788,1.08398,30.3455,5.93872,0.0172768,2.71894,-1.04819
2017,WTI,-5.8,56.1,34.2,2016-09-30,-0.0956029,0.123806,0,10.3533,9.48328,8.09873,0.640961,-0.0263324,0.0457455,-86.4137,0.6186,0.0143617,0,0.277906,0.436543,0.504949,18.0348,15.4017,0.254112,-3.8267,-0.310731
2018,AGI,-40.2,-2.8,4.2,2017-09-30,0.00883273,1.35461,127.664,14.6454,36.9145,-2.8317,3.84647,0.00256028,1.50694,86.9241,0.79287,0.559834,0.994258,0.473093,0.752929,1.32267,410.665,-31.5021,0.00166875,8.16304,0.0164804
2018,AMRC,62.3,81.3,6.2,2017-09-30,0.020114,2.74783,4.73861,2.57798,25.2512,8.26379,1.2858,-0.161707,-4.48026,9.59086,1,0.513344,0,0.2574,0.163269,3.32736,53.6114,17.5451,0.00210387,-3.75853,-1.20702
2018,AZZ,-33.8,15.1,9.5,2017-08-31,0.0168602,0.517077,65.5358,8.236,52.8224,10.0464,2.72935,0.00952334,2.23184,135.726,0,0.0544465,0.512345,0.45759,0.570039,0.76547,44.2218,8.41067,-0.000812614,-5.75776,-0.209761
2018,BCC,62.2,-31.4,1.2,2017-09-30,0.0465328,0.917741,39.5763,1.31667,21.274,3.50178,2.26574,0.0497682,2.70547,38.8699,0.773323,0.216957,0,0.202493,0.987738,1.11206,38.1573,6.28081,0.0195569,-4.44823,-0.101158
2018,CBRL,0.9,4.7,5.0,2017-10-27,0.0618054,1.41524,37.5603,5.70089,43.7955,3.02595,0.929335,0.00203293,0.825291,14.3254,0.647622,0.415302,1,0.965749,0.202677,1.42213,48.7435,3.36783,-0.0043136,1.10545,0.129078
2018,CDE,-34.5,-30.0,4.9,2017-09-30,0.0284254,1.06116,127.609,10.6318,44.2564,1.37115,3.68225,-1.76017e-05,-1.76748,114.165,0.542346,0.924774,0.056564,0.317627,0.527777,0.698194,122.858,3.8064,-0.0157246,-3.59007,0.138097
2018,CECO,69.7,16.7,2.5,2017-09-30,0.0165112,0.0419101,33.8352,5.36922,48.2514,10.3273,1.5707,-0.00816677,-0.910408,66.6731,0.764992,0.0413142,0.359889,1,0.301417,0.0591849,77.1015,16.5021,-0.00864962,2.10593,-0.0133256
