yr,ticker,sec,mb,cr,r40,mc,mom,ret,qqq
2010,HLIO,Indu,0.795,0.719,0.162,0.131,107.3,46.6,28.9
2010,HNI,Cons,0.301,0.376,0.070,0.512,113.6,25.2,31.6
2010,HP,Ener,0.293,0.722,0.169,0.981,96.8,17.5,27.5
2010,HTLD,Indu,0.809,0.440,0.306,0.565,8.9,8.2,22.6
2010,HUBG,Indu,0.029,0.467,0.250,0.434,23.7,44.3,33.7
2010,HUN,Basi,0.489,0.457,0.338,0.846,464.8,43.1,34.2
2010,HURN,Indu,0.297,0.390,0.466,0.148,-44.2,32.8,33.0
2010,ICFI,Indu,0.475,0.220,0.451,0.175,9.6,-7.1,16.4
2010,IFF,Basi,0.035,0.143,0.640,0.859,27.0,42.3,36.4
2010,IT,Indu,0.067,0.277,0.374,0.702,89.2,72.2,42.8
2010,J,Indu,0.087,0.639,0.119,0.945,-1.5,24.5,25.4
2010,JBTM,Indu,0.195,0.403,0.364,0.194,67.7,9.5,17.6
2010,KEX,Indu,0.346,0.483,0.252,0.690,39.0,22.2,25.6
2010,KFRC,Indu,0.271,0.096,0.227,0.226,90.3,36.3,34.4
2010,KFY,Indu,0.999,0.622,0.413,0.390,129.4,20.7,22.3
2010,KNX,Indu,0.670,0.345,0.397,0.515,41.6,0.2,21.0
2010,KRO,Basi,0.390,0.710,0.655,0.344,15.6,248.6,67.2
2010,LCII,Cons,0.770,0.680,0.795,0.162,189.7,10.2,26.8
2010,LEU,Ener,0.777,0.841,0.635,0.259,-0.4,11.0,25.2
2010,LKQ,Cons,0.135,0.875,0.680,0.796,57.8,31.8,27.9
2010,LNN,Indu,0.412,0.892,0.774,0.208,56.6,83.8,28.7
2010,LQDT,Cons,0.754,0.547,0.654,0.000,45.0,34.6,33.9
2010,LZB,Cons,0.376,0.207,0.416,0.266,1165.2,-27.9,17.6
2010,MAN,Indu,0.151,0.536,0.231,0.965,99.2,19.5,28.1
2010,MATV,Basi,0.786,0.229,0.447,0.544,235.1,-14.9,20.9
2010,MATX,Indu,0.300,0.670,0.188,0.333,51.4,25.2,28.7
2010,MELI,Cons,0.020,0.686,0.934,0.668,177.7,68.2,36.3
2010,MEOH,Basi,0.811,0.831,0.328,0.728,165.8,25.4,26.2
2010,MGM,Cons,0.624,0.144,0.044,0.988,256.4,43.9,33.5
2010,MGRC,Indu,0.434,0.250,0.389,0.237,21.3,9.5,23.9
2010,MIDD,Indu,0.089,0.600,0.562,0.346,126.7,84.3,36.4
2010,MLCO,Cons,0.706,0.945,0.780,0.655,27.8,75.8,45.1
2010,MLI,Indu,0.189,0.630,0.242,0.160,19.8,32.4,29.2
2010,MLKN,Cons,0.186,0.393,0.255,0.511,94.5,27.5,18.0
2010,MLM,Basi,0.646,0.192,0.134,0.879,-7.2,16.7,29.4
2010,MOD,Indu,0.303,0.721,0.143,0.167,955.7,61.1,35.5
2010,MTRN,Basi,0.457,0.421,0.360,0.109,40.3,71.8,36.4
2010,MTX,Basi,0.377,0.367,0.396,0.413,22.1,35.5,34.1
2010,MTZ,Indu,0.066,0.422,0.619,0.461,39.2,21.0,26.4
2010,MWA,Indu,0.505,0.313,0.147,0.332,-29.7,-14.5,18.9
2010,MYE,Cons,0.405,0.261,0.290,0.047,227.8,-0.3,24.2
2010,MYRG,Indu,0.639,0.227,0.424,0.052,19.3,29.2,22.5
2010,NAT,Indu,0.975,0.948,0.026,0.556,-4.4,-14.0,21.6
2010,NMM,Indu,0.370,0.434,0.905,0.153,115.3,11.6,22.0
2010,NPK,Indu,0.521,0.771,0.632,0.389,141.4,3.5,24.5
2010,NPO,Indu,0.616,0.643,0.007,0.205,12.0,69.7,43.0
2010,NX,Basi,0.745,0.713,0.745,0.255,113.5,19.8,25.3
2010,OII,Ener,0.044,0.325,0.297,0.844,83.0,41.2,33.6
2010,OIS,Ener,0.274,0.817,0.077,0.514,137.4,88.8,45.3
2010,OKE,Ener,0.582,0.830,0.770,0.926,88.0,48.7,35.4
2010,OLN,Basi,0.371,0.706,0.179,0.559,1.6,15.0,23.6
2010,OSK,Indu,0.476,0.790,0.948,0.865,388.3,1.8,24.3
2010,OXM,Cons,0.351,0.472,0.272,0.080,263.9,3.5,15.2
2010,PAAS,Basi,0.901,0.972,0.997,0.766,41.4,55.0,37.7
2010,PDS,Ener,0.530,0.489,0.164,0.739,114.7,29.7,31.7
2010,PII,Cons,0.199,0.450,0.335,0.608,107.6,71.8,40.2
